template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
4	hairdresser	neutral	The hairdresser called me today.	Перукар зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мій парикмахер зателефонував мені.	male	male
5	hairdresser	female	Anne is a hairdresser.	Анна - перукарка.	mbart	zeroshot	Анна - перукар.	male	male
6	hairdresser	female	Anne is an experienced hairdresser.	Анна - досвідчена перукарка.	mbart	zeroshot	Анна є досвідченою перукаркою.	female	female
7	hairdresser	male	Tom is a hairdresser.	Том - перукар.	mbart	zeroshot	Том - перукар.	male	male
8	hairdresser	male	Tom is a poor hairdresser.	Том - бідний перукар.	mbart	zeroshot	Том - бідний парикмахер.	male	male
9	hairdresser	neutral	Jessie is a good hairdresser.	Джессі - хороший перукар.	mbart	zeroshot	Джесси - хороший перукар.	male	male
10	hairdresser	neutral	Jessie is a poor hairdresser.	Джессі - бідний перукар.	mbart	zeroshot	Джесси - бідна парикмахерка.	female	female
1	janitor	neutral	I used to work as a janitor.	Я працював прибиральником.	mbart	zeroshot	Я працював прибиральником.	male	male
2	janitor	neutral	I am a poor janitor.	Я бідний прибиральник.	mbart	zeroshot	Я бідний прибиральник.	male	male
3	janitor	neutral	I am a nice janitor.	Я хороший прибиральник.	mbart	zeroshot	Я гарний прибиральник.	male	male
4	janitor	neutral	The janitor called me today.	Прибиральник зателефонував мені сьогодні.	mbart	zeroshot	Працівник зателефонував мені сьогодні.	male	male
5	janitor	female	Anne is a janitor.	Анна - прибиральниця.	mbart	zeroshot	Анна - прибиральник.	male	male
6	janitor	female	Anne is an experienced janitor.	Анна - досвідчена прибиральниця.	mbart	zeroshot	Анна - досвідчений прибиральник.	male	male
7	janitor	male	Tom is a janitor.	Том - прибиральник.	mbart	zeroshot	Том прибиральник.	male	male
8	janitor	male	Tom is a poor janitor.	Том - бідний прибиральник.	mbart	zeroshot	Том - бідний прибиральник.	male	male
9	janitor	neutral	Jessie is a good janitor.	Джессі - хороший прибиральник.	mbart	zeroshot	Джесси - хороший прибиральник.	male	male
10	janitor	neutral	Jessie is a poor janitor.	Джессі - бідний прибиральник.	mbart	zeroshot	Джесси - бідний прибиральник.	male	male
1	therapist	neutral	I used to work as a therapist.	Я працював терапевтом.	mbart	zeroshot	Я працював психотерапевтом.	male	male
2	therapist	neutral	I am a poor therapist.	Я бідний терапевт.	mbart	zeroshot	Я бідний психотерапевт.	male	male
3	therapist	neutral	I am a nice therapist.	Я хороший терапевт.	mbart	zeroshot	Я хороший психотерапевт.	male	male
4	therapist	neutral	The therapist called me today.	Терапевт зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені подзвонив терапевт.	male	male
5	therapist	female	Anne is a therapist.	Анна - терапевтка.	mbart	zeroshot	Анна - психотерапевтка.	female	female
6	therapist	female	Anne is an experienced therapist.	Анна - досвідчена терапевтка.	mbart	zeroshot	Анна є досвідченою психотерапевткою.	female	female
7	therapist	male	Tom is a therapist.	Том - терапевт.	mbart	zeroshot	Том - психотерапевт.	male	male
8	therapist	male	Tom is a poor therapist.	Том - бідний терапевт.	mbart	zeroshot	Том - бідний терапевт.	male	male
9	therapist	neutral	Jessie is a good therapist.	Джессі - хороший терапевт.	mbart	zeroshot	Джесси - хороший терапевт.	male	male
10	therapist	neutral	Jessie is a poor therapist.	Джессі - бідний терапевт.	mbart	zeroshot	Джесси - бідна психотерапевтка.	female	female
1	accountant	neutral	I used to work as a accountant.	Я працював бухгалтером.	mbart	zeroshot	Я працював бухгалтером.	male	male
2	accountant	neutral	I am a poor accountant.	Я бідний бухгалтер.	mbart	zeroshot	Я бідний бухгалтер.	male	male
3	accountant	neutral	I am a nice accountant.	Я хороший бухгалтер.	mbart	zeroshot	Я гарний бухгалтер.	male	male
4	accountant	neutral	The accountant called me today.	Бухгалтер зателефонував мені сьогодні.	mbart	zeroshot	Аудитор зателефонував мені сьогодні.	male	male
5	accountant	female	Anne is a accountant.	Анна - бухгалтерка.	mbart	zeroshot	Анна є бухгалтером.	male	male
6	accountant	female	Anne is an experienced accountant.	Анна - досвідчена бухгалтерка.	mbart	zeroshot	Анна є досвідченою бухгалтером.	female	male
7	accountant	male	Tom is a accountant.	Том - бухгалтер.	mbart	zeroshot	Том бухгалтер.	male	male
8	accountant	male	Tom is a poor accountant.	Том - бідний бухгалтер.	mbart	zeroshot	Том - бідний бухгалтер.	male	male
9	accountant	neutral	Jessie is a good accountant.	Джессі - хороший бухгалтер.	mbart	zeroshot	Джесси - хороший бухгалтер.	male	male
10	accountant	neutral	Jessie is a poor accountant.	Джессі - бідний бухгалтер.	mbart	zeroshot	Джесси - бідний бухгалтер.	male	male
1	planner	neutral	I used to work as a planner.	Я працював планувальником.	mbart	zeroshot	Я працював планувальником.	male	male
2	planner	neutral	I am a poor planner.	Я бідний планувальник.	mbart	zeroshot	Я бідний планувальник.	male	male
3	planner	neutral	I am a nice planner.	Я хороший планувальник.	mbart	zeroshot	Я гарний планувальник.	male	male
4	planner	neutral	The planner called me today.	Планувальник зателефонував мені сьогодні.	mbart	zeroshot	Планувальник зателефонував мені сьогодні.	male	male
5	planner	female	Anne is a planner.	Анна - планувальниця.	mbart	zeroshot	Анна - планувальникка.	female	female
6	planner	female	Anne is an experienced planner.	Анна - досвідчена планувальниця.	mbart	zeroshot	Анна є досвідченою планувальниккою.	female	female
7	planner	male	Tom is a planner.	Том - планувальник.	mbart	zeroshot	Том - планувальник.	male	male
8	planner	male	Tom is a poor planner.	Том - бідний планувальник.	mbart	zeroshot	Том - бідний планувальник.	male	male
9	planner	neutral	Jessie is a good planner.	Джессі - хороший планувальник.	mbart	zeroshot	Джесси - хороший планувальник.	male	male
10	planner	neutral	Jessie is a poor planner.	Джессі - поганий планувальник.	mbart	zeroshot	Джесси - поганий планувальник.	male	male
1	worker	neutral	I used to work as a worker.	Я працював робітником.	mbart	zeroshot	Я працював як робітник.	male	male
2	worker	neutral	I am a poor worker.	Я бідний робітник.	mbart	zeroshot	Я бідний робітник.	male	male
3	worker	neutral	I am a nice worker.	Я хороший робітник.	mbart	zeroshot	Я гарний робітник.	male	male
4	worker	neutral	The worker called me today.	Робітник зателефонував мені сьогодні.	mbart	zeroshot	Працівник зателефонував мені сьогодні.	male	male
